name,smiles,xyz_file
anti_C_C_2-CN_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(C=C4)=CC2=CC3=CC(C=C5(C#N))=C(C=C5)C=C13,structures/anti_C_C_2-CN_benz.xyz
anti_C_C_2-CN_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(C=C4)=CC2=CC3=CC(C=C5(C#N))=C(C=C5)C=C13,structures/anti_C_C_2-CN_diCF3.xyz
anti_C_C_2-F_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(C=C4)=CC2=CC3=CC(C=C5(F))=C(C=C5)C=C13,structures/anti_C_C_2-F_diCl.xyz
anti_C_C_2-OMe_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(C=C4)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/anti_C_C_2-OMe_diCF3.xyz
anti_C_NMe_2-CF3_diOMe,C1=C2C=C(C(OC)=C4(OC))C(N4C)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(C=C5)C=C13,structures/anti_C_NMe_2-CF3_diOMe.xyz
anti_C_NMe_2-OMe_3-OMe,C1=C2C=C(C(OC)=C4)C(N4C)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/anti_C_NMe_2-OMe_3-OMe.xyz
anti_C_NMe_2-OMe_diCN,C1=C2C=C(C(C#N)=C4(C#N))C(N4C)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/anti_C_NMe_2-OMe_diCN.xyz
anti_C_NMe_3-CF3_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(N4C)=CC2=CC3=CC(C(C(F)(F)(F))=C5)=C(C=C5)C=C13,structures/anti_C_NMe_3-CF3_diCl.xyz
anti_C_NMe_3-CF3_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(N4C)=CC2=CC3=CC(C(C(F)(F)(F))=C5)=C(C=C5)C=C13,structures/anti_C_NMe_3-CF3_p-OMebenz.xyz
anti_C_NMe_diF_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(N4C)=CC2=CC3=CC(C(F)=C5(F))=C(C=C5)C=C13,structures/anti_C_NMe_diF_benz.xyz
anti_C_NMe_diOMe_diOMe,C1=C2C=C(C(OC)=C4(OC))C(N4C)=CC2=CC3=CC(C(OC)=C5(OC))=C(C=C5)C=C13,structures/anti_C_NMe_diOMe_diOMe.xyz
anti_C_NMe_diOMe_m-OMebenz,C1=C2C=C(C(C=C6)=C4(C=C6(OC)))C(N4C)=CC2=CC3=CC(C(OC)=C5(OC))=C(C=C5)C=C13,structures/anti_C_NMe_diOMe_m-OMebenz.xyz
anti_C_NPh_2-Cl_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(Cl))=C(C=C5)C=C13,structures/anti_C_NPh_2-Cl_p-OMebenz.xyz
anti_C_NPh_3-Cl_m-CF3benz,C1=C2C=C(C(C=C6)=C4(C=C6(C(F)(F)(F))))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(Cl)=C5)=C(C=C5)C=C13,structures/anti_C_NPh_3-Cl_m-CF3benz.xyz
anti_C_NPh_3-CN_2-Cl,C1=C2C=C(C=C4(Cl))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C#N)=C5)=C(C=C5)C=C13,structures/anti_C_NPh_3-CN_2-Cl.xyz
anti_C_NPh_diOMe_diCN,C1=C2C=C(C(C#N)=C4(C#N))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(OC)=C5(OC))=C(C=C5)C=C13,structures/anti_C_NPh_diOMe_diCN.xyz
anti_C_O_2-CF3_3-CN,C1=C2C=C(C(C#N)=C4)C(O4)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(C=C5)C=C13,structures/anti_C_O_2-CF3_3-CN.xyz
anti_C_O_2-Cl_3-CF3,C1=C2C=C(C(C(F)(F)(F))=C4)C(O4)=CC2=CC3=CC(C=C5(Cl))=C(C=C5)C=C13,structures/anti_C_O_2-Cl_3-CF3.xyz
anti_C_O_2-CN_3-F,C1=C2C=C(C(F)=C4)C(O4)=CC2=CC3=CC(C=C5(C#N))=C(C=C5)C=C13,structures/anti_C_O_2-CN_3-F.xyz
anti_C_O_2-F_diF,C1=C2C=C(C(F)=C4(F))C(O4)=CC2=CC3=CC(C=C5(F))=C(C=C5)C=C13,structures/anti_C_O_2-F_diF.xyz
anti_C_O_2-OMe_3-CF3,C1=C2C=C(C(C(F)(F)(F))=C4)C(O4)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/anti_C_O_2-OMe_3-CF3.xyz
anti_C_O_3-F_C,C1=C2C=C(C=C4)C(O4)=CC2=CC3=CC(C(F)=C5)=C(C=C5)C=C13,structures/anti_C_O_3-F_C.xyz
anti_C_O_3-OMe_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(O4)=CC2=CC3=CC(C(OC)=C5)=C(C=C5)C=C13,structures/anti_C_O_3-OMe_benz.xyz
anti_C_O_diCF3_C,C1=C2C=C(C=C4)C(O4)=CC2=CC3=CC(C(C(F)(F)(F))=C5(C(F)(F)(F)))=C(C=C5)C=C13,structures/anti_C_O_diCF3_C.xyz
anti_C_O_diCF3_diF,C1=C2C=C(C(F)=C4(F))C(O4)=CC2=CC3=CC(C(C(F)(F)(F))=C5(C(F)(F)(F)))=C(C=C5)C=C13,structures/anti_C_O_diCF3_diF.xyz
anti_C_O_diCN_2-OMe,C1=C2C=C(C=C4(OC))C(O4)=CC2=CC3=CC(C(C#N)=C5(C#N))=C(C=C5)C=C13,structures/anti_C_O_diCN_2-OMe.xyz
anti_C_O_m-CNbenz_3-CF3,C1=C2C=C(C(C(F)(F)(F))=C4)C(O4)=CC2=CC3=CC(C(C=C7)=C5(C=C7(C#N)))=C(C=C5)C=C13,structures/anti_C_O_m-CNbenz_3-CF3.xyz
